case_id,symptom,topology_note,show_output_evidence,expected_fault,osi_layer,concept_tag,severity,reference_source_note
CASE-001,PC1 cannot ping PC2 in the same VLAN across Switch-1 and Switch-2,PC1 (192.168.10.10/24) on S1 Fa0/1 (VLAN 10). PC2 (192.168.10.20/24) on S2 Fa0/1 (VLAN 10). Trunk link between S1 Gi0/1 and S2 Gi0/1.,"S1# show interfaces trunk -> Gi0/1 802.1q trunking 10,20; S2# show interfaces trunk -> Gi0/1 802.1q trunking 20,30 (VLAN 10 missing from allowed list)",VLAN 10 is not permitted on the trunk link of Switch-2 (switchport trunk allowed vlan missing VLAN 10),Data Link (Layer 2),VLAN_Trunking,High,Adapted from NetAcad CCNA SRWE Lab 2.2.13 (Troubleshoot VLANs and Trunks)
CASE-002,Native VLAN mismatch error in Syslog; traffic between VLAN 1 and native untagged VLAN leaking,S1 Gi0/1 connects to S2 Gi0/1. S1 trunk native VLAN configured as 99; S2 trunk native VLAN remains default 1.,"%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with S2 GigabitEthernet0/1 (1). S1# show interfaces Gi0/1 switchport -> Trunking Native Mode VLAN: 99; S2# show interfaces Gi0/1 switchport -> Trunking Native Mode VLAN: 1","Native VLAN mismatch between interconnected switch trunk interfaces (S1 uses VLAN 99, S2 uses default VLAN 1)",Data Link (Layer 2),VLAN_Trunking,Medium,Adapted from Cisco IOS Switching Command Reference & NetAcad SRWE Lab 2.2.13
CASE-003,PC in Accounting department cannot communicate with local gateway or file server,PC3 (192.168.30.15/24) connected to S1 Fa0/5. Accounting subnet is VLAN 30.,"S1# show vlan brief -> Port Fa0/5 is assigned to VLAN 1 (default), while VLAN 30 (Accounting) exists with ports Fa0/10-12.",Access port Fa0/5 is incorrectly assigned to default VLAN 1 instead of VLAN 30,Data Link (Layer 2),VLAN_Access,High,Adapted from CCNA ITN Lab 10.4.3 & SRWE Lab 2.1.4 (VLAN Configuration)
CASE-004,Router-on-a-Stick inter-VLAN routing fails between Sales (VLAN 10) and Marketing (VLAN 20),Router R1 Gi0/0.10 and Gi0/0.20 subinterfaces connect to Switch S1 Gi0/1 (Trunk).,R1# show running-config interface Gi0/0.10 -> encapsulation dot1Q 20 (encapsulation tag 20 set on subinterface .10 with IP 192.168.10.1); Gi0/0.20 -> encapsulation dot1Q 20,"Subinterface G0/0.10 was configured with wrong 802.1Q tag (tag 20 instead of tag 10), causing VLAN 10 frame drop",Network (Layer 3),Router_On_A_Stick,Critical,Adapted from NetAcad SRWE Lab 3.4.5 (Troubleshoot Inter-VLAN Routing)
CASE-005,Host PC cannot ping default gateway; local ARP table shows incomplete for gateway IP,"PC1 IP 192.168.1.50/24, configured gateway 192.168.1.1. Router R1 interface Gi0/0 is the intended gateway.",C:\> arp -a -> 192.168.1.1 incomplete; R1# show ip interface brief -> GigabitEthernet0/0 192.168.1.1 YES manual administratively down down,Router default gateway interface Gi0/0 is administratively shut down (missing 'no shutdown'),Network (Layer 3),Default_Gateway,Critical,Adapted from NetAcad ITN Lab 17.7.6 (Troubleshoot Connectivity Issues)
CASE-006,Workstation cannot communicate outside local subnet; can ping neighbors on same switch,"PC-A: IP 172.16.10.25, Mask 255.255.255.0, Gateway 172.16.10.254. Router Gateway IP is 172.16.10.1.",PC-A> ipconfig /all -> Default Gateway: 172.16.10.254; R1# show ip interface brief -> Gi0/0/0 172.16.10.1 up up. Ping from PC-A to 172.16.10.254 times out.,Host workstation has incorrect default gateway IP configured (172.16.10.254 instead of 172.16.10.1),Network (Layer 3),Default_Gateway,High,Adapted from NetAcad ITN Lab 11.5.5 (Subnetting & Host Gateway Troubleshooting)
CASE-007,HSRP active/standby state flaps; dual active routers claiming virtual IP 192.168.1.254,Router R1 (Gi0/1: 192.168.1.2) and Router R2 (Gi0/1: 192.168.1.3). HSRP Group 1 Virtual IP 192.168.1.254.,R1# show standby brief -> Grp 1 Pri 110 State Active Active: local Standby: unknown; R2# show standby brief -> Grp 2 Pri 100 State Active Active: local Standby: unknown,"HSRP group number mismatch (R1 configured under 'standby 1', R2 configured under 'standby 2')",Network (Layer 3),FHRP_HSRP,High,Adapted from NetAcad SRWE Lab 9.2.9 (Troubleshoot HSRP)
CASE-008,HSRP standby router fails to take over active role when primary router metric/priority degrades,R1 priority 110 without preempt. R2 priority 105 with preempt. R1 rebooted/recovered with priority 90 after tracking.,R1# show standby brief -> Grp 1 Pri 90 State Active (Preempt disabled); R2# show standby brief -> Grp 1 Pri 105 State Standby (Preempt enabled),Primary router lacks 'standby 1 preempt' or secondary router priority tracking is misaligned,Network (Layer 3),FHRP_HSRP,Medium,Adapted from Cisco HSRP Configuration Guide & NetAcad SRWE Module 9
CASE-009,Clients in Branch LAN receive APIPA address (169.254.x.x) instead of corporate DHCP scope,Clients on VLAN 10 connected to Switch S1. Central DHCP Server on 10.1.100.10 connected via Router R1 Gi0/0.,PC1> ipconfig -> Autoconfiguration IPv4: 169.254.45.12; R1# show running-config interface Gi0/0.10 -> interface GigabitEthernet0/0.10 has no 'ip helper-address' command.,Missing DHCP relay agent ('ip helper-address 10.1.100.10') on the client-facing router subinterface,Application (Layer 7),DHCP,Critical,Adapted from NetAcad SRWE Lab 7.4.2 (Troubleshoot DHCPv4)
CASE-010,New devices cannot obtain DHCP lease; existing devices with active leases work normally,Router R1 acts as local DHCP server for pool 192.168.20.0/24 (Scope: 192.168.20.1 - 192.168.20.254).,"R1# show ip dhcp pool LAN-POOL -> Total addresses: 5, Leased addresses: 5, Excluded: 249; R1# show ip dhcp binding -> 5 bindings listed; pool exhausted.",DHCP pool address starvation due to overly broad 'ip dhcp excluded-address 192.168.20.6 192.168.20.254',Network (Layer 3),DHCP,High,Adapted from NetAcad SRWE Lab 7.2.7 (Implement DHCPv4 on IOS)
